facility,안전원고시 제2020-7호[고시],안전원고시 제2020-6호[고시],안전원고시 제2020-9호[고시],안전원고시 제2020-8호[고시],안전원고시 제2020-5호[고시],안전원고시 제2020-10호[고시],안전원고시 제2019-11호[고시],안전원고시 제2020-11호[고시],안전원고시 제2020-12호[고시],안전원고시 제2021-2호[고시],안전원고시 제2021-3호[고시],안전원고시 제2022-2호[고시],안전원고시 제2021-5호[고시],안전원고시 제2021-1호[고시],안전원고시 제2021-7호[규정],안전원고시 제2021-2호[규정],안전원고시 제2021-3호[규정],안전원고시 제2021-8호[규정],안전원고시 제2021-9호[규정],장외영향평가서 작성 등에 관한 규정,위해관리계획서 작성 등에 관한 규정
기타(추출 안됨),16,16,1,8,74,0,1,0,0,4,0,0,64,98,45,0,10,47,2,50,57
가스켓,0,1,1,3,12,0,0,0,0,0,0,0,0,7,1,0,0,1,0,1,1
감지기,21,61,9,88,174,4,0,2,3,5,0,0,36,147,0,0,0,0,0,20,4
건물,26,34,3,17,87,2,0,0,0,0,1,0,35,75,0,0,5,0,0,19,5
게이지,2,1,0,1,6,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0
격벽,5,15,3,20,16,0,0,1,0,0,0,0,11,23,1,0,4,1,0,7,1
격실,0,0,0,1,1,0,1,6,0,0,0,0,2,5,0,0,0,0,0,3,0
계측기,0,3,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
교반기,0,0,0,2,6,1,0,1,0,0,0,0,3,6,0,0,0,0,0,1,0
구축물,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
냉각탑,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0
냉동기,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1
냉장고,0,0,1,0,0,0,0,0,0,0,0,0,10,12,1,0,1,0,0,3,0
누전차단기,0,6,0,6,5,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0
닥트,1,3,0,0,14,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0
댐퍼,2,1,1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
덮개,0,1,0,2,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
도로,34,38,3,42,119,5,2,12,11,0,0,0,55,134,9,0,2,11,2,30,15
디스플레이,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1
뚜껑,2,2,0,5,9,4,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0
리프트,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
맨홀,0,0,0,1,1,0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0
모터,0,1,0,0,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1
무전기,1,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
물탱크,0,1,0,1,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
박스,2,1,0,1,8,0,1,0,0,0,0,0,3,8,0,0,0,0,0,0,0
발전기,0,2,0,0,16,0,0,0,1,0,0,0,1,6,0,0,0,0,0,1,3
밧데리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
방류벽,11,112,8,196,98,5,0,7,2,0,0,0,36,151,1,0,7,2,0,23,9
방지턱,18,43,6,48,74,3,0,11,0,1,0,0,32,77,1,0,1,1,0,10,5
방폭팬,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
방호벽,1,0,0,3,3,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0
배관,23,70,5,108,278,6,0,16,31,4,1,0,80,284,15,0,11,18,0,39,20
배수로,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
배출닥트,1,3,0,0,14,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0
배출덕트,4,3,1,2,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
배터리,0,0,0,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
밸브,9,30,3,48,113,1,2,21,15,0,0,0,25,128,4,0,8,5,0,20,13
벤츄레이터,1,2,0,0,7,0,0,0,0,0,0,0,1,4,1,0,0,1,0,1,0
벤틸레이터,2,0,0,1,6,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0
벽면,4,4,1,5,13,1,0,0,0,0,0,0,3,11,0,0,0,0,0,1,0
벽체,8,39,5,9,50,2,0,1,0,1,0,0,12,36,0,0,1,1,0,8,1
보관장,11,0,4,0,14,0,0,0,0,0,0,0,13,24,1,0,1,0,0,4,0
보일러,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
볼트,1,1,0,2,6,0,0,1,0,0,0,0,4,13,0,0,0,0,0,0,0
비상발전기,0,2,0,0,12,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,3
사외배관,1,0,0,3,10,0,0,1,31,0,0,0,0,12,3,0,2,5,0,2,0
살수장치,1,2,0,2,15,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,3
서까래,1,0,0,1,13,0,0,0,0,0,0,0,7,11,0,0,0,0,0,5,1
선박,0,0,0,3,3,0,1,0,1,0,0,0,2,8,0,0,0,2,0,0,1
선반,6,1,0,0,1,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0
센서,5,7,0,10,18,3,0,0,0,1,0,0,5,24,0,0,0,0,0,2,1
소방시설,2,1,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
소방차,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
소화기,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
소화전,0,1,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
송풍기,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
수도,5,6,1,18,34,1,0,6,3,0,0,0,8,32,1,0,1,1,0,5,1
수로,0,3,0,8,9,0,0,2,0,1,0,0,1,5,0,0,0,0,0,0,0
스위치,0,2,0,0,8,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
스크러버,11,12,0,6,37,0,0,0,0,0,0,0,4,20,3,0,1,3,0,6,8
스프링클러,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
승용자동차,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
승합자동차,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
실린더,5,4,0,1,17,0,0,0,0,0,0,0,5,10,1,0,2,1,0,2,1
실험실,6,0,0,3,26,0,0,1,0,0,0,0,37,57,3,0,1,3,0,12,0
아스팔트,1,0,1,14,3,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1
압력계,0,4,1,3,23,0,0,2,3,0,0,0,3,21,0,0,0,0,0,0,0
에어컨,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
엔진,0,1,0,0,8,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
연구실,1,0,0,1,8,0,0,1,0,0,0,0,18,27,2,0,0,3,1,7,1
열교환기,0,1,0,2,11,0,0,0,0,0,0,0,3,9,3,0,0,2,0,2,0
열차,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
옥상,2,3,0,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0
옥외,1,5,3,24,18,1,1,3,0,0,0,0,8,34,2,0,2,1,0,9,5
온도계,0,1,0,1,2,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0
외벽,2,3,2,7,24,2,0,0,0,0,0,0,8,17,0,0,2,0,0,8,1
욕조,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
용기,41,21,10,23,146,5,13,17,0,1,1,0,75,157,6,0,8,6,0,28,5
운반차량,4,0,1,0,4,1,6,10,0,0,0,0,2,6,0,0,0,0,0,3,2
운송차량,4,5,1,26,4,2,8,28,0,0,0,0,2,21,0,0,0,0,0,3,3
원심펌프,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
유량계,0,1,0,1,2,1,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0
유리창,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
작업대,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
잠금장치,2,1,1,4,8,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0
저장탱크,11,145,8,193,159,27,2,14,4,2,0,0,59,223,4,0,7,5,0,41,24
전동기,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제어장치,0,1,0,0,5,0,0,0,4,0,0,0,1,6,0,0,0,0,0,0,2
조명등,1,0,0,3,10,0,0,0,0,0,0,0,5,7,0,0,0,0,0,2,0
주차장,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
지게차,8,2,1,2,7,0,3,2,0,0,0,0,2,10,0,0,0,0,0,1,0
지하,36,74,14,103,241,34,1,12,5,3,2,0,39,178,8,0,4,9,3,30,21
집수시설,11,66,6,34,67,2,0,9,0,1,0,0,9,42,0,0,1,0,0,2,1
차량,9,15,3,45,24,7,19,83,4,0,0,0,8,55,2,0,0,3,0,10,7
창고,48,3,4,2,51,0,0,1,0,0,1,0,36,81,6,0,3,6,0,28,5
처마,8,12,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0
천장,5,2,2,2,17,0,0,0,0,0,0,0,10,18,0,0,2,0,0,4,0
천정,1,4,2,2,4,0,0,0,0,0,0,0,2,3,0,0,3,0,0,4,0
철근,1,2,0,7,9,6,0,1,7,0,0,0,2,13,0,0,0,1,0,1,0
철근콘크리트,1,2,0,4,5,6,0,1,7,0,0,0,1,9,0,0,0,1,0,1,0
철판,1,2,0,6,5,8,0,12,0,0,0,0,2,13,0,0,0,1,0,0,0
축전지,0,1,0,0,8,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0
출입구,14,21,5,3,41,0,0,0,0,0,1,0,17,35,0,0,3,0,0,12,1
측정기,2,2,0,4,8,0,0,0,0,0,0,0,2,18,0,0,0,0,0,1,0
칸막이,15,7,1,21,14,1,2,35,0,0,0,0,6,32,1,0,0,1,0,2,3
캐비넷,0,0,0,0,4,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0
캐비닛,4,2,0,0,10,0,0,0,0,0,0,0,10,21,0,0,2,0,0,1,1
컨베이어,2,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
컨테이너,5,0,1,3,2,0,2,14,0,0,0,0,3,8,0,0,0,0,0,0,0
콘덴서,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
콘크리트,8,8,3,34,34,12,0,3,8,0,0,0,30,62,0,0,3,2,0,13,2
쿨러,2,1,0,0,2,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0
크레인,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
클램프,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
클린룸,0,0,1,0,8,0,0,0,0,0,1,0,9,10,0,0,2,0,0,4,0
탱크,22,181,9,259,231,31,5,65,4,2,0,0,85,335,13,0,10,16,0,56,35
탱크로리,5,12,3,38,24,6,1,38,0,0,0,0,6,45,2,0,0,4,0,10,8
터미널,0,0,0,6,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
트랜시버,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
트렌치,26,63,8,57,97,5,1,15,0,3,0,0,29,103,1,0,3,2,0,19,7
파레트,2,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
파렛트,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파이프,0,0,0,2,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
팔레트,9,2,3,0,6,0,0,0,0,0,0,0,3,8,0,0,0,0,0,2,0
펌프실,0,7,0,6,4,0,0,0,1,0,0,0,2,7,1,0,0,0,0,0,0
펜스,6,1,3,1,7,0,0,0,0,0,0,0,4,6,0,0,0,0,0,1,0
플랜트,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
피뢰,9,13,3,3,17,0,0,1,1,0,0,0,4,14,0,0,0,0,0,3,0
피뢰설비,1,1,1,1,6,0,0,0,1,0,0,0,1,7,0,0,0,0,0,2,0
피뢰침,5,8,2,1,11,0,0,1,0,0,0,0,3,9,0,0,0,0,0,3,0
피복,2,2,1,5,13,0,0,1,1,0,0,0,1,6,1,0,0,1,0,1,0
피스톤,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
하천,0,0,0,2,3,0,0,0,11,0,0,0,0,5,0,0,0,1,0,0,0
항공기,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
호스,0,4,1,6,22,0,0,3,0,0,0,0,6,13,1,0,0,1,0,0,1
화구,19,17,3,10,72,1,0,0,0,0,0,0,22,53,0,0,1,0,0,12,3
화물자동차,0,0,0,0,1,0,5,8,0,0,0,0,1,2,0,0,0,0,0,0,0
화장실,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
환기휀,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
후드,9,8,0,1,29,0,0,1,0,0,0,0,6,13,0,0,0,0,0,0,1
휀스,2,1,1,2,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0
휴대폰,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
