substance,안전원고시 제2020-7호[고시],안전원고시 제2020-6호[고시],안전원고시 제2020-9호[고시],안전원고시 제2020-8호[고시],안전원고시 제2020-5호[고시],안전원고시 제2020-10호[고시],안전원고시 제2019-11호[고시],안전원고시 제2020-11호[고시],안전원고시 제2020-12호[고시],안전원고시 제2021-2호[고시],안전원고시 제2021-3호[고시],안전원고시 제2022-2호[고시],안전원고시 제2021-5호[고시],안전원고시 제2021-1호[고시],안전원고시 제2021-7호[규정],안전원고시 제2021-2호[규정],안전원고시 제2021-3호[규정],안전원고시 제2021-8호[규정],안전원고시 제2021-9호[규정],장외영향평가서 작성 등에 관한 규정,위해관리계획서 작성 등에 관한 규정
기타(추출 안됨),75,97,21,140,360,8,6,47,25,6,1,0,181,427,61,0,22,60,7,103,62
가솔린,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
가연성물질,3,1,0,0,7,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0
경유,1,1,0,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
계면활성제,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고무,0,1,1,2,4,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0
고체화학,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
과산화물,2,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0
과산화수소,4,13,0,19,35,0,0,3,0,0,0,0,13,38,2,0,2,2,0,7,4
과산화수소수,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
과염소산,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구리,2,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
규소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
글라스,2,1,1,0,8,0,0,0,0,0,0,0,15,22,0,0,2,0,0,5,0
글리세린,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
글리콜,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
나이트로벤젠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
나트륨,15,75,2,58,88,2,1,8,0,1,0,0,36,132,11,0,3,12,1,25,9
나프탈렌,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
난연재,1,1,0,2,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
납괴,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
냉각수,1,2,0,1,12,0,0,0,0,0,0,0,2,9,0,0,0,0,0,1,2
냉매,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
농약,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
니스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
니켈,2,1,0,0,9,0,1,0,0,1,0,0,7,14,2,0,1,1,0,2,2
니코틴,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0
도료,3,1,1,12,9,2,1,0,0,0,0,0,4,9,1,0,0,1,0,1,1
도시가스,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
독물,17,11,1,17,59,3,3,4,1,1,0,0,21,77,14,0,4,17,2,17,8
등유,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
디메틸,3,1,1,1,6,2,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0
디메틸티,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디실란,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디에틸,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
디에틸에테르,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
디옥틸스타닐렌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디옥틸프탈레이트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
디젤,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
락스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
리튬,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
리튬이온,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
린스,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
릴리,0,1,0,1,3,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
마그네슘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
망간,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0
메탄올,3,5,3,8,11,1,0,0,0,0,0,0,4,17,2,0,0,1,0,5,5
메틸,5,4,1,6,24,2,0,0,0,0,0,0,11,29,0,0,0,1,0,11,3
메틸렌,1,2,0,3,9,0,0,0,0,0,0,0,2,7,0,0,0,1,0,2,0
메틸렌비스,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
메틸아민,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
메틸알코올,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
메틸에틸케톤,1,0,0,0,6,0,0,0,0,0,0,0,6,12,0,0,0,0,0,3,0
멜라민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
모르타르,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
몰리브덴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
방부제,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
방사선,0,2,0,1,14,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0
방사성폐기물,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
배기가스,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
배수,1,20,2,16,19,2,0,1,2,0,0,0,3,28,0,0,0,0,0,2,3
베셀,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
벤젠,2,0,0,3,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
벤틸,2,1,0,1,6,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0
부산물,0,0,0,2,10,0,0,0,0,0,0,0,10,10,4,0,0,4,0,9,1
부타디엔,0,0,0,3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
부텐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
불산,2,1,0,1,13,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,8
불소,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
불화수소,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
불화수소산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
붕소,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
비금속,1,0,0,1,14,0,0,0,0,1,0,0,4,7,0,0,0,0,0,0,0
비산,3,0,0,0,3,1,0,0,1,0,0,0,1,6,0,0,0,0,0,1,0
비소,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
비스페놀,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산성,2,3,0,4,5,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,1
산소,1,0,0,0,6,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,2
산화나트륨,13,73,2,54,84,2,1,8,0,1,0,0,34,123,9,0,3,9,0,23,7
산화납,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
산화마그네슘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
산화물,2,0,0,0,2,0,1,0,0,0,0,0,1,3,1,0,0,1,0,1,0
산화수,4,13,0,19,35,0,0,3,0,0,0,0,13,38,2,0,2,2,0,7,4
산화알루미늄,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
산화철,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산화칼륨,0,0,0,0,1,0,0,2,0,0,0,0,2,9,0,0,0,0,0,2,0
석고보드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
석유,3,2,0,2,14,2,1,2,2,0,0,0,4,18,0,0,0,0,0,3,2
석유화학,0,0,0,0,3,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,1
석탄,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
설폰산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세트리모늄,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
셀레늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
솔벤트,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
수산화,13,73,2,54,86,3,2,10,0,1,0,0,35,129,9,0,3,9,0,24,8
수산화나트륨,13,73,2,54,84,2,1,8,0,1,0,0,34,123,9,0,3,9,0,23,7
수용액,0,0,0,1,5,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0
술폰산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
스테인레스,1,3,0,5,4,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1
스텐레스,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
슬러지,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
시멘트,4,3,2,8,8,0,0,1,0,0,0,0,1,3,1,0,0,1,0,1,0
시안화수소,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
실레인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
실리카,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
실리콘,0,0,0,4,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2
아르신,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
아마이드,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
아미드,1,0,1,3,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
아산화질소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아세테이트,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1
아세톤,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
아세트산,1,1,0,1,9,1,0,0,0,0,0,0,5,9,1,0,1,1,0,3,4
아세트산에틸,1,1,0,1,8,1,0,0,0,0,0,0,3,6,1,0,1,1,0,3,2
아세트아마이드,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
아세틸렌,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
아세틸옥심,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아스콘,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
아연,0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1,1,0,0,0
아연도금,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
아염소산,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,1
아질산나트륨,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
아질산염,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아크릴,0,1,0,5,5,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2
아크릴산,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
아황산가스,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
안료,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
안티몬,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
알데히드,1,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0
알루미늄,1,0,0,1,6,1,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0
알루미늄합금,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
알류미늄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
알미늄,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
알카리,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
알칼리,0,1,0,1,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
알코올,1,0,0,1,4,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0
암모늄,4,0,0,0,8,0,1,1,0,0,0,0,1,4,1,0,0,1,0,2,0
암모니아,5,11,2,5,26,1,0,3,0,0,1,0,13,36,3,0,2,2,0,6,5
암모니아수,1,6,0,3,11,1,0,3,0,0,0,0,4,13,0,0,0,0,0,1,2
액화천연가스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
에멀젼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
에어로졸,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
에탄,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
에탄올,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
에테르,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
에틸,3,1,0,3,19,1,0,0,0,0,0,0,16,36,2,0,2,2,0,10,5
에틸렌,1,0,0,2,5,0,0,0,0,0,0,0,3,15,0,0,0,0,0,3,1
에틸벤젠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
에틸아민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
에폭시,2,1,0,12,7,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0
염기성,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
염산,7,29,3,32,30,2,0,4,0,0,0,0,15,50,4,0,1,4,0,7,6
염소,2,1,0,4,12,1,0,0,0,0,0,0,7,21,2,0,0,2,1,2,1
염소산,1,0,0,4,0,0,0,0,0,0,0,0,2,6,2,0,0,2,1,1,1
염소산나트륨,1,0,0,3,0,0,0,0,0,0,0,0,2,6,2,0,0,2,1,1,1
염화,1,3,1,3,19,0,0,0,0,0,0,0,8,18,2,0,2,3,0,10,5
염화메틸,1,2,0,2,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0
염화물,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
염화비닐,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
염화수소,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2
오일샌드,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
옥탄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
요오드화수소,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
원유,0,2,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
유기산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유기화합물,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
유독가스,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0
유독물질,13,6,1,13,46,3,1,0,0,1,0,0,13,49,12,0,3,15,2,12,6
유증기,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이산화탄소,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
이소프렌,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이황화탄소,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인산,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
인산염,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인화성물질,12,11,3,12,54,1,0,0,0,1,0,0,20,46,1,0,1,2,0,7,1
일산화탄소,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
자일렌,2,0,0,3,5,0,0,1,0,0,0,0,3,6,0,0,0,0,0,0,0
질산,9,10,0,4,37,1,0,0,1,0,0,0,15,38,0,0,1,0,0,8,3
질산암모늄,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
질산염,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
질산칼륨,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
질소,3,1,0,0,7,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,3
차아염소산,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,1
천연가스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
첨가제,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
초산,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
침출수,0,2,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
카본,0,1,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
칼륨,0,1,0,1,4,0,0,3,0,0,0,0,3,13,1,0,0,0,0,4,0
케톤,1,0,0,0,6,0,0,0,0,0,0,0,6,12,0,0,0,0,0,3,0
코발트,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0
퀴논,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
퀴놀린,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
크레졸,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
크롬,0,1,0,0,12,0,0,0,0,1,0,0,6,9,1,0,0,0,0,0,0
크롬산,0,0,0,0,11,0,0,0,0,1,0,0,6,7,1,0,0,0,0,0,0
크룸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
크실렌,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
클로로포름,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
타르,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
타이타늄,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
탄화수소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
테프론,0,0,0,2,3,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0
톨루엔,4,1,0,5,18,2,0,2,1,0,0,0,10,17,2,0,2,3,0,6,2
톨루엠,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
트리메틸아민,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티오황산나트륨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
티타늄,0,0,1,0,3,0,0,0,0,0,0,0,4,4,1,0,1,1,0,1,1
틸에틸,1,0,0,0,6,0,0,0,0,0,0,0,6,12,0,0,0,0,0,3,0
틸포름,2,0,1,2,3,2,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0
파라티온,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
페놀,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1
페닐,1,1,0,3,3,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0
페닐메탄,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
페수,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
페인트,4,1,0,8,11,1,0,1,0,0,0,0,4,7,0,0,0,0,0,0,0
폐기물,1,3,0,0,4,4,2,3,0,0,0,0,1,4,2,0,1,2,0,2,0
폐산,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
폐수,6,41,1,43,59,4,3,5,0,3,0,0,18,80,2,0,0,3,0,13,6
포르말린,0,0,0,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
포름산,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0
포름알데히드,1,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0
포스겐,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
포스핀,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
폴리,1,1,0,2,8,0,1,0,0,0,0,0,1,10,0,0,0,0,0,2,0
폴리에틸렌,0,0,0,2,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0
폴리염화비닐,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
폴리올,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
폴리우레탄,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
폴리프로필렌,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
폼알데하이드,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
프로판,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
프로필렌,0,0,0,0,1,0,1,0,0,0,0,0,2,5,0,0,0,0,0,2,1
프탈레이트,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
플라스틱,1,0,2,4,3,1,2,1,0,0,0,0,4,19,0,0,1,0,0,4,0
플루오르,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
플루오르화수소,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
피크린산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
할로겐,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
함석,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
합성가스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
합성수지,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
핵연료,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
헥사메틸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
헥사민,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
헥산,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
헬륨,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
혼합물,3,1,1,2,16,0,1,1,0,0,0,0,4,12,6,0,1,5,0,6,8
화산재,2,21,1,19,38,0,0,0,0,0,0,0,1,15,0,0,0,0,0,1,0
화약류,1,1,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
화장품,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0
화합물,1,0,0,1,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0
환원제,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황산,8,27,2,32,50,7,0,3,0,1,0,0,23,95,5,0,1,5,0,12,15
황산구리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황산니켈,1,1,0,0,5,0,0,0,0,1,0,0,5,8,1,0,1,0,0,0,0
황산알루미늄,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
황화수소,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
히드록시에톡시,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
